no,student_id,first_name,last_name,gender,date_of_birth,social_id
1,21127011,Huong,Truong,Female,11/01/2003,741852963
2,21127012,Khanh,Bui,Male,12/01/2003,963852741
3,21127013,Lan,Phan,Female,13/01/2003,369852147
4,21127014,Linh,Ha,Female,14/01/2003,159263478
5,21127015,Long,Trinh,Male,15/01/2003,852741963
6,21127016,Minh,Ly,Male,16/01/2003,369147852
7,21127017,Nhan,Chu,Male,17/01/2003,147963852
8,21127018,Nhung,Vo,Female,18/01/2003,789654123
9,21127019,Phong,Nguyen,Male,19/01/2003,321789654
10,21127020,Phu,Luu,Male,20/01/2003,456321789
