no,student_id,first_name,last_name,gender,date_of_birth,social_id
1,21127021,Quan,Tran,Male,21/01/2003,654123789
2,21127022,Quyen,Le,Female,22/01/2003,987456321
3,21127023,Sang,Phan,Male,23/01/2003,654321987
4,21127024,Tai,Duong,Male,24/01/2003,123987456
5,21127025,Tam,Ho,Male,25/01/2003,321456987
6,21127026,Thach,Tran,Male,26/01/2003,789321654
7,21127027,Thang,Ngo,Male,27/01/2003,456789321
8,21127028,Thao,Nguyen,Female,28/01/2003,987321654
9,21127029,Thanh,Tran,Female,29/01/2003,654987123
10,21127030,Thao,Vo,Female,30/01/2003,123654987h
