no,student_id,first_name,last_name,gender,date_of_birth,social_id
1,22125011,Huong,Truong,Female,11/04/2004,741852963
2,22125012,Khanh,Bui,Male,12/04/2004,963852741
3,22125013,Lan,Phan,Female,13/04/2004,369852147
4,22125014,Linh,Ha,Female,14/04/2004,159263478
5,22125015,Long,Trinh,Male,15/04/2004,852741963
6,22125016,Minh,Ly,Male,16/04/2004,369147852
7,22125017,Nhan,Chu,Male,17/04/2004,147963852
8,22125018,Nhung,Vo,Female,18/04/2004,789654123
9,22125019,Phong,Nguyen,Male,19/04/2004,321789654
10,22125020,Phu,Luu,Male,20/04/2004,456321789
