no,student_id,first_name,last_name,gender,date_of_birth,social_id
1,20000031,Tien,Tran,Male,31/01/2002,369258147
2,20000032,Trang,Nguyen,Female,01/02/2002,147963852
3,20000033,Trung,Dang,Male,02/02/2002,852147963
4,20000034,Tuan,Pham,Male,03/02/2002,123456789
5,20000035,Van,Dinh,Female,04/02/2002,987654321
6,20000036,Vu,Nguyen,Male,05/02/2002,456789123
7,20000037,Yen,Le,Female,06/02/2002,789123456
8,20000038,Yen,Phan,Female,07/02/2002,321654987
9,20000039,Yen,Tran,Female,08/02/2002,654987321
10,20000040,Canh,Nguyen,Male,09/02/2002,147258369
