no,student_id,first_name,last_name,gender,date_of_birth,social_id
1,20000021,Quan,Tran,Male,21/01/2002,654123789
2,20000022,Quyen,Le,Female,22/01/2002,987456321
3,20000023,Sang,Phan,Male,23/01/2002,654321987
4,20000024,Tai,Duong,Male,24/01/2002,123987456
5,20000025,Tam,Ho,Male,25/01/2002,321456987
6,20000026,Thach,Tran,Male,26/01/2002,789321654
7,20000027,Thang,Ngo,Male,27/01/2002,456789321
8,20000028,Thao,Nguyen,Female,28/01/2002,987321654
9,20000029,Thanh,Tran,Female,29/01/2002,654987123
10,20000030,Thao,Vo,Female,30/01/2002,123654987
