no,student_id,first_name,last_name,gender,date_of_birth,social_id
1,20000041,Chien,Tran,Male,10/02/2002,369147258
2,20000042,Chinh,Vo,Male,11/02/2002,258369147
3,20000043,Cuong,Nguyen,Male,12/02/2002,852147963
4,20000044,Dai,Le,Male,13/02/2002,741852963
5,20000045,Dan,Tran,Female,14/02/2002,963852741
6,20000046,Diep,Nguyen,Female,15/02/2002,369852147
7,20000047,Dinh,Vo,Male,16/02/2002,159263478
8,20000048,Du,Pham,Male,17/02/2002,852741963
9,20000049,Dung,Nguyen,Male,18/02/2002,369147852
10,20000050,Duy,Le,Male,19/02/2002,147963852
